coin_id,timestamp,price,market_cap,total_volume
bitcoin,2026-06-03 15:00:00+00:00,66782.62463882395,1338197111123.092,48821196197.61692
bitcoin,2026-06-03 16:00:00+00:00,66036.84392617278,1323258033150.869,47038169505.692924
bitcoin,2026-06-03 17:00:00+00:00,65984.23224081712,1322203790834.8325,46009003541.82879
bitcoin,2026-06-03 18:00:00+00:00,65900.7617000043,1320534488318.3538,46380306996.53111
bitcoin,2026-06-03 19:00:00+00:00,65969.44357979982,1321910751485.1648,46088309411.35104
bitcoin,2026-06-03 20:00:00+00:00,65375.71733786461,1310015556326.9214,44529350515.46844
bitcoin,2026-06-03 21:00:00+00:00,64922.30415130191,1300929945460.5627,44586803312.515
bitcoin,2026-06-03 22:00:00+00:00,65680.52544449347,1316124431001.257,44980137892.81601
bitcoin,2026-06-03 23:00:00+00:00,64807.53646894814,1298632209950.359,44219037605.99516
bitcoin,2026-06-04 00:00:00+00:00,64046.61064609333,1283384941923.1694,43649392701.85552
bitcoin,2026-06-04 01:00:00+00:00,63156.63728335888,1265552402754.7776,37634980027.823
bitcoin,2026-06-04 02:00:00+00:00,62110.07475736659,1244581863762.4077,47750973164.62833
bitcoin,2026-06-04 03:00:00+00:00,63187.28811306053,1266167983763.7366,52358783994.98087
bitcoin,2026-06-04 04:00:00+00:00,64291.26814940917,1288289904461.4229,54670767352.236725
bitcoin,2026-06-04 05:00:00+00:00,64332.98783448769,1289125897445.4011,55055143082.92276
bitcoin,2026-06-04 06:00:00+00:00,63889.33855854152,1280235905075.1335,54352991936.62235
bitcoin,2026-06-04 07:00:00+00:00,63989.94611810007,1282251912956.493,53861621869.66285
bitcoin,2026-06-04 08:00:00+00:00,63595.2976012762,1274348965382.877,54450751184.56721
bitcoin,2026-06-04 09:00:00+00:00,63574.0366992823,1273924138512.1462,55279712601.63925
bitcoin,2026-06-04 10:00:00+00:00,63096.13850853811,1264347807158.1997,55555304498.27417
bitcoin,2026-06-04 11:00:00+00:00,62404.11642004464,1250482328314.2913,57413850853.98666
bitcoin,2026-06-04 12:00:00+00:00,62504.76273829966,1252499125436.1455,59670750042.51952
bitcoin,2026-06-04 13:00:00+00:00,63696.29233573984,1276378345058.6,60101468033.43077
bitcoin,2026-06-04 14:00:00+00:00,64109.75302489269,1284663478318.5713,30893507956.003998
bitcoin,2026-06-04 15:00:00+00:00,63893.95916455616,1280339292400.8362,64130547107.271095
bitcoin,2026-06-04 16:00:00+00:00,63848.07389437551,1279424608882.2073,55741548125.66327
bitcoin,2026-06-04 17:00:00+00:00,63510.10118882089,1272653513682.3062,62305597950.951805
bitcoin,2026-06-04 18:00:00+00:00,63488.3065938399,1272216780511.3203,62617609795.09886
bitcoin,2026-06-04 19:00:00+00:00,63761.81057215688,1277697417331.223,63781527430.02327
bitcoin,2026-06-04 20:00:00+00:00,63612.08271572602,1274697080707.3474,63367529922.52424
bitcoin,2026-06-04 21:00:00+00:00,63546.34689224149,1273379826834.8704,62687366890.5551
bitcoin,2026-06-04 22:00:00+00:00,63228.34542351155,1267007522603.5786,61802758346.20082
bitcoin,2026-06-04 23:00:00+00:00,63679.43939830341,1276046814326.8428,62029374704.16472
bitcoin,2026-06-05 00:00:00+00:00,63810.65923840883,1278676276214.779,60995145201.16938
bitcoin,2026-06-05 01:00:00+00:00,63373.435049971646,1269924421607.6194,58020717070.2749
bitcoin,2026-06-05 02:00:00+00:00,63326.02248608488,1268975093005.3032,54744814412.36598
bitcoin,2026-06-05 03:00:00+00:00,62570.2761949303,1253830872944.474,48678975376.8897
bitcoin,2026-06-05 04:00:00+00:00,62660.88448990885,1255646551002.775,48320766276.23897
bitcoin,2026-06-05 05:00:00+00:00,63562.65498863327,1273716915405.335,48690064342.48758
bitcoin,2026-06-05 06:00:00+00:00,62371.255076384776,1249842736116.9663,46305223237.3373
bitcoin,2026-06-05 07:00:00+00:00,61895.75812450161,1240314365866.454,51353364612.70603
bitcoin,2026-06-05 08:00:00+00:00,62994.04817119991,1262322738719.2102,50519542627.17412
bitcoin,2026-06-05 09:00:00+00:00,62406.399178912725,1250554032346.3347,53441659368.31735
bitcoin,2026-06-05 10:00:00+00:00,62796.08933013144,1258363738128.4097,52729543591.03056
bitcoin,2026-06-05 11:00:00+00:00,62499.54163387176,1252421252352.9517,50512047407.72991
bitcoin,2026-06-05 12:00:00+00:00,61982.34655948252,1242059160153.0522,47866735949.55064
bitcoin,2026-06-05 13:00:00+00:00,61906.64594310932,1240542201709.0002,48477740331.79076
bitcoin,2026-06-05 14:00:00+00:00,60769.13165020372,1217747646069.637,47411651353.25982
bitcoin,2026-06-05 15:00:00+00:00,60811.67892665356,1218604261024.348,51772797797.051445
bitcoin,2026-06-05 16:00:00+00:00,60473.2066738379,1211821620965.731,54169594753.21524
bitcoin,2026-06-05 17:00:00+00:00,61392.63639858438,1230247777502.8691,59133844956.74294
bitcoin,2026-06-05 18:00:00+00:00,60759.8016831602,1217566395046.4675,59716089497.61455
